Kelimeler,bow_KelimeSayisi,tfidf_KelimeSayisi
abs,122,31.453009137797757
all,21,8.780140610789392
and,30516,3753.7040050813252
apply,123,36.12574109594961
asc,2021,608.4455234740939
ascii,11,4.812901625165012
avg,1125,303.8426541518403
begin,179,31.43772820776308
between,1041,244.24949043046513
bigint,182,36.61290923056755
by,27813,3349.0793870055677
case,4449,504.0246726730339
cast,4502,697.8773365770269
ceiling,17,5.271786610105928
char,276,69.59032958926842
charindex,552,114.48302986626817
close,112,22.34710855560178
coalesce,334,71.65874873861517
collate,360,92.14786971430404
concat,388,103.7583656588995
constraint,30,4.805780620270488
convert,1402,299.7751465121619
count,14218,2352.9502098712524
create,739,110.6023169267607
createdate,39,4.547356803692107
createddate,27,4.145784495121697
cross,191,47.463210143354644
cursor,60,10.475807669333419
date,2037,374.67067707752665
dateadd,2385,365.2224263088369
datediff,3057,499.3915563766479
datefirst,10,3.1216114081604425
datefromparts,123,30.158181830331387
datename,199,40.312774081596714
datepart,3117,480.20115361875406
datetime,1046,176.5765023593332
datevalue,24,3.8166414173946066
day,1683,340.05137261107564
days,64,19.838272454892476
deallocate,59,10.491967542277305
decimal,607,125.8598593156983
declare,5535,903.6784608328563
delete,26,6.2232108661186665
desc,11985,2378.0088561790344
distinct,1692,441.6487373556809
down,42,11.536230321781854
drop,100,14.87810622146004
dvalue,53,7.525351525556131
else,3718,436.4676247188191
end,4820,520.4015677526778
escape,18,6.2330613218807756
except,14,7.645633420149236
exec,101,27.29996722409607
exists,530,144.01993959206484
fetch,168,29.24069977513045
filtername,20,4.919720871161726
first,27,8.42368389205204
float,1481,279.68488469204937
floor,111,33.364621967088745
for,233,46.117594791239945
foreign,15,2.342172407448739
format,112,37.60825586544633
from,36933,4344.4168913397625
full,85,18.180364473794995
getdate,2234,424.68689146677116
getutcdate,99,30.56154328089662
go,14,6.691260649641292
goto,10,3.4636462461260145
group,9556,1355.8595919454008
grouping,17,5.031541046384132
having,1289,329.5152591526072
high,13,4.506424415265483
hour,354,77.77590270094525
identity,154,26.62166655805964
if,24,3.8803180286813803
iif,119,23.25827375999796
in,3748,743.2166320406734
index,28,7.670745241858324
inner,9476,1608.1191808656356
insert,1789,206.1157686352189
int,4984,837.4319129401882
integer,76,15.903106539456624
intersect,33,11.456409525016328
into,1707,211.02817217422853
is,5554,1001.354400001478
isnull,482,106.6308950165253
join,17527,2309.9688892560102
key,116,19.524752913748003
last,37,11.57945955193998
left,2347,467.94909715462273
len,1876,542.746737561722
length,106,32.14539127560501
like,12143,2571.6679125812498
log,104,33.78478488406733
lower,3604,799.1149857783975
ltrim,57,17.272231421658287
max,1618,344.06475439861947
min,690,179.50732211177896
minute,34,13.4776625520906
month,3785,542.4356320199693
months,16,6.126819911499726
next,168,29.24069977513045
nocount,322,65.15002713188024
nodes,18,5.192590405720464
nolock,207,44.75614562391104
not,3582,672.8457659141874
ntile,59,17.178092135405247
null,7049,1100.7157728506957
nullif,101,26.65338163611662
num,352,85.11098685270954
number,2641,624.669123507044
numeric,197,53.02123129527782
nvarchar,1286,263.00851496756627
offset,27,8.521768108483135
offtopic,13,2.7669883154739083
on,17761,2314.2171062120333
only,28,8.579764636655486
open,73,12.588970341419136
option,34,9.408557055175603
or,5751,914.9389431509856
order,17691,2608.3315089274006
other,21,7.733863863993069
outer,524,124.2494540371661
output,27,4.440317601780737
over,3061,661.1862175401831
owner,28,5.884018262742147
parsename,45,7.570925165815439
partition,343,79.72619526940738
path,44,13.744937034366323
patindex,108,27.553326725043124
percent,129,32.39653760675656
period,18,3.5464021248011526
pivot,75,19.153313690242864
power,43,13.172532699414553
primary,222,34.95092320986899
print,152,34.85090375712244
procedure,20,4.089037283328296
ptri,14,5.238512624997556
rand,25,14.271728004053093
rank,295,66.58836868760949
raw,17,6.831726104462026
references,18,2.728062077609336
replace,560,124.58465446518692
replicate,34,11.718679802485989
reverse,68,13.08421258548667
right,167,46.45367497062894
rollup,24,9.979072693654052
round,577,144.80237013340923
row,2520,604.1649418152311
rows,73,21.532310858002216
rtrim,89,25.641878209238087
select,39455,4480.742287996933
set,1192,191.67171065537573
site,25,5.38470153673045
source,26,13.910551659794585
space,18,4.843471157385105
sqrt,44,13.137410959376485
statistics,33,8.416260564776913
str,130,29.485798038443455
stuff,110,31.358668337104977
substring,381,82.20134815176405
sum,5950,799.6106801747558
sysdatetime,15,6.2166362284020815
sysname,14,3.029520218560494
table,1396,188.95393984113525
tablesample,12,7.055653223575534
target,26,9.038823474952043
then,6207,656.5125751840998
thousand,11,9.539956901470488
time,49,9.910314450915774
tinyint,36,8.994259538071395
top,7255,2073.4780197695104
union,2048,244.0257443939694
unique,17,4.352659517919456
unpivot,17,6.282028022849201
upd,11,3.8061886196343844
update,111,22.515373426989946
upper,1326,391.58271625665384
use,50,35.63391306061978
values,1112,148.30424906101248
varchar,2326,416.5828392667198
week,757,120.54851792093113
weekday,177,31.227053158773025
when,6245,660.8158367789017
where,27737,3634.9218541099726
while,154,27.691041073306156
with,1940,336.9305831880217
within,40,11.206352901208243
xml,102,41.392213309211556
year,3306,546.9400712416809
