Kelimeler,TFIDF_Kume3_KelimeSayisi
and,4.6713015393257225
by,2.8321981907817078
cast,0.7884894222646248
count,2.668327361635677
dateadd,0.48796148886810287
datediff,0.3253076592454019
datepart,1.7788627828989614
declare,1.821533277294018
desc,0.8756377685171032
float,0.48534675708818703
from,4.025116205527576
getdate,0.24398074443405143
group,1.7013723777215934
hour,0.6176542389989251
in,1.0171912592407435
inner,1.026147144325018
int,1.4546590944338256
is,1.2521114947846221
join,1.3708142487086747
len,0.7565430878685547
like,1.2961610445022398
month,1.896759816442461
not,1.4121990276045326
null,1.2521114947846221
on,1.3708142487086747
order,1.6195356183616414
round,0.48534675708818703
rows,0.5493222384462274
select,4.147951653823063
sum,1.6229800851595824
top,0.7617757003216017
week,0.7319422333021544
weekday,0.6176542389989251
where,3.482737321786276
with,0.5702591756286646
