Kelimeler;bow_KelimeSayisi;bow_0;bow_1;bow_2;bow_3;bow_4;tfidf_KelimeSayisi;tfidf_0;tfidf_1;tfidf_2;tfidf_3;tfidf_4
abs;122;0;0;0;0;0;31,45300914;0;0;0;0;0
all;21;0;0;0;0;0;8,780140611;0;0;0;0;0
and;30516;53;10;119;61;8;3753,704005;3,255192908;4,621885883;2,044234698;2,290975802;3,599530824
apply;123;0;0;0;0;0;36,1257411;0;0;0;0;0
asc;2021;0;0;0;0;0;608,4455235;0,691499667;0;0;0;0,88728951
ascii;11;0;0;0;0;0;4,812901625;0;0;0;0;0
avg;1125;0;0;0;0;4;303,8426542;0;0;0;0;0
begin;179;0;0;0;0;0;31,43772821;0;0;0;0;0
between;1041;0;0;0;7;0;244,2494904;1,111960252;0;0;0;0
bigint;182;0;0;0;0;0;36,61290923;0;0;0;0;0
by;27813;35;32;45;35;19;3349,079387;3,873500134;2,195147566;5,591135213;0;3,665276405
case;4449;0;40;0;128;0;504,0246727;1,197545369;0,490844206;0;0;0
cast;4502;3;4;9;42;5;697,8773366;0,417281174;1,372210938;0;0;0,313589634
ceiling;17;0;0;0;0;0;5,27178661;0;0;0;0;0
char;276;0;0;0;0;0;69,59032959;0;0;0;0;0
charindex;552;0;0;0;0;0;114,4830299;0;0;0;0;0
close;112;0;0;0;0;0;22,34710856;0;0;0;0;0
coalesce;334;0;0;0;0;0;71,65874874;0;0;0;0;0
collate;360;0;0;0;0;0;92,14786971;0;0;0;0;0
concat;388;0;0;0;0;0;103,7583657;0,525889085;0;0;0;0
constraint;30;0;0;0;0;0;4,80578062;0;0;0;0;0
convert;1402;0;0;0;0;0;299,7751465;0;0,883433977;0;0;0
count;14218;18;17;30;45;5;2352,95021;2,272625275;3,015161583;0;2,934551024;1,577866674
create;739;0;0;0;0;1;110,6023169;0;0;0;0;0
createdate;39;0;0;0;0;0;4,547356804;0;0;0;0;0
createddate;27;0;0;0;0;0;4,145784495;0;0;0;0;0
cross;191;0;0;0;0;0;47,46321014;0;0;0;0;0
cursor;60;0;0;0;0;0;10,47580767;0;0;0;0;0
date;2037;0;7;0;0;0;374,6706771;0;0,699789519;0;0;0
dateadd;2385;0;0;0;6;0;365,2224263;0;0,915449448;0;0,5532018;0
datediff;3057;5;8;0;28;1;499,3915564;0,507409603;1,253679046;0;0;0
datefirst;10;0;0;0;0;0;3,121611408;0;0;0;0;0
datefromparts;123;0;0;0;0;0;30,15818183;0;0;0;0;0
datename;199;0;0;0;0;0;40,31277408;0;0;0;0;0
datepart;3117;0;0;25;18;0;480,2011536;0;0;0;0;0
datetime;1046;0;0;0;0;0;176,5765024;0;0;0;0;0
datevalue;24;0;0;0;0;0;3,816641417;0;0;0;0;0
day;1683;0;8;0;0;1;340,0513726;0,507409603;0;0;0;0,543517093
days;64;0;0;0;0;0;19,83827245;0;0;0;0;0
deallocate;59;0;0;0;0;0;10,49196754;0;0;0;0;0
decimal;607;0;0;0;11;0;125,8598593;0;0;0;0;0
declare;5535;5;8;22;0;2;903,6784608;0;2,202889248;0;0;1,082474012
delete;26;0;0;0;0;0;6,223210866;0;0;0;0;0
desc;11985;15;12;11;6;9;2378,008856;2,281530618;0;5,591135213;0;3,036593622
distinct;1692;0;0;8;0;0;441,6487374;0;0;0;0,615632071;0,456805319
down;42;0;0;0;0;0;11,53623032;0;0;0;0;0
drop;100;0;0;0;0;0;14,87810622;0;0;0;0;0
dvalue;53;0;0;13;0;0;7,525351526;0;0;0;0;0
else;3718;0;27;0;113;0;436,4676247;0,951208847;0,490844206;0;0;0
end;4820;0;38;0;133;0;520,4015678;1,288071619;0,515120103;0;0;0
escape;18;0;0;0;0;0;6,233061322;0;0;0;0;0
except;14;0;0;0;0;0;7,64563342;0;0;0;0;0
exec;101;0;0;0;0;1;27,29996722;0;0;0;0;0
exists;530;0;0;11;0;0;144,0199396;0;0;0;0;0
fetch;168;0;0;0;0;0;29,24069978;0;0;0;0;0
filtername;20;0;0;0;0;0;4,919720871;0;0;0;0;0
first;27;0;0;0;0;0;8,423683892;0;0;0;0;0
float;1481;0;0;0;31;5;279,6848847;0,417281174;0,984862795;0;0;0
floor;111;0;0;0;0;0;33,36462197;0;0;0;0;0
for;233;0;0;0;0;0;46,11759479;0;0;0;0;0
foreign;15;0;0;0;0;0;2,342172407;0;0;0;0;0
format;112;0;0;0;0;0;37,60825587;0;0;0;0;0
from;36933;39;31;98;38;21;4344,416891;3,451030581;3,494980256;4,782832909;7,670562526;3,671599508
full;85;0;0;0;0;0;18,18036447;0;0;0;0;0
getdate;2234;7;8;0;6;1;424,6868915;0;1,631255831;0;0;0,543517093
getutcdate;99;0;0;0;0;0;30,56154328;0;0;0;0;0
go;14;0;0;0;0;0;6,69126065;0;0;0;0;0
goto;10;0;0;0;0;0;3,463646246;0;0;0;0;0
group;9556;15;13;23;20;6;1355,859592;2,439777794;0,971167728;0;0;0,693218881
grouping;17;0;0;0;0;0;5,031541046;0;0;0;0;0
having;1289;0;0;0;0;0;329,5152592;0,686489982;0;0;0;0,156794817
high;13;0;0;0;0;0;4,506424415;0;0;0;0;0
hour;354;0;0;0;6;0;77,7759027;0;0;0;0;0
identity;154;0;0;0;0;0;26,62166656;0;0;0;0;0
if;24;0;0;0;0;0;3,880318029;0;0;0;0;0
iif;119;0;0;0;0;0;23,25827376;0;0;0;0;0
in;3748;0;7;15;0;0;743,216632;0,237676119;0;0;0,285682859;0,747750398
index;28;0;0;0;0;0;7,670745242;0;0;0;0;0
inner;9476;10;11;28;18;6;1608,119181;4,044529861;0;0;0;0,582930629
insert;1789;0;8;9;0;0;206,1157686;0;0,91474493;0;0;0
int;4984;9;13;17;0;3;837,4319129;0;1,812481196;0;0;1,082474012
integer;76;0;0;0;0;0;15,90310654;0;0;0;0;0
intersect;33;0;0;0;0;0;11,45640953;0;0;0;0;0
into;1707;0;5;8;0;0;211,0281722;0;1,002917197;0;0;0
is;5554;7;0;16;7;1;1001,3544;0,864414023;2,131409195;0;0;0,169155082
isnull;482;0;0;0;0;0;106,630895;0;0;0;0;0
join;17527;29;22;44;25;11;2309,968889;4,736383218;1,048278941;0;0;0,90378309
key;116;0;0;0;0;0;19,52475291;0;0;0;0;0
last;37;0;0;0;0;0;11,57945955;0;0;0;0;0
left;2347;5;0;0;0;0;467,9490972;1,203462757;0;0;0;0
len;1876;0;0;0;0;5;542,7467376;0;1,669955093;0;0;0
length;106;0;0;0;0;0;32,14539128;0;0;0;0;0
like;12143;8;0;16;0;10;2571,667913;1,103192011;0;5,582801719;3,043552393;4,768291956
log;104;0;0;0;0;0;33,78478488;0;0;0;0;0
lower;3604;0;0;11;0;0;799,1149858;0;0;3,45364125;0;1,218572164
ltrim;57;0;0;0;0;0;17,27223142;0;0;0;0;0
max;1618;4;0;11;0;1;344,0647544;0;0;0;0;0
min;690;0;0;0;0;0;179,5073221;0;0;0;0;0
minute;34;0;0;0;0;0;13,47766255;0;0;0;0;0
month;3785;10;0;8;28;0;542,435632;0;0;0;0;0
months;16;0;0;0;0;0;6,126819911;0;0;0;0;0
next;168;0;0;0;0;0;29,24069978;0;0;0;0;0
nocount;322;0;0;0;0;0;65,15002713;0;0;0;0;0
nodes;18;0;0;0;0;0;5,192590406;0;0;0;0;0
nolock;207;0;0;0;0;0;44,75614562;0;0;0;0;0
not;3582;0;0;10;6;0;672,8457659;0,253704801;1,352248278;0;0;0
ntile;59;0;0;0;0;0;17,17809214;0;0;0;0;0
null;7049;7;10;16;11;1;1100,715773;0,864414023;2,131409195;0;0;0,169155082
nullif;101;0;0;0;0;0;26,65338164;0;0;0;0;0
num;352;0;0;0;0;0;85,11098685;0;0;0;0;0
number;2641;0;0;0;0;0;624,6691235;0;0;2,157830235;0;0,313589634
numeric;197;0;0;0;0;0;53,0212313;0;0;0;0;0
nvarchar;1286;0;0;0;0;2;263,008515;0;0;0;0;0
offset;27;0;0;0;0;0;8,521768108;0;0;0;0;0
offtopic;13;0;0;0;0;0;2,766988315;0;0;0;0;0
on;17761;29;25;43;25;11;2314,217106;4,736383218;1,048278941;0;0;0,90378309
only;28;0;0;0;0;0;8,579764637;0;0;0;0;0
open;73;0;0;0;0;0;12,58897034;0;0;0;0;0
option;34;0;0;0;0;0;9,408557055;0;0;0;0;0
or;5751;3;5;7;0;5;914,9389432;0,325960984;0;2,819803577;0;2,929726267
order;17691;20;16;20;15;13;2608,331509;2,600251095;1,531548926;5,591135213;0;3,536025258
other;21;0;0;0;0;0;7,733863864;0;0;0;0;0
outer;524;3;0;0;0;0;124,249454;0,237676119;0;0;0;0
output;27;0;0;0;0;0;4,440317602;0;0;0;0;0
over;3061;3;0;0;0;1;661,1862175;0;0;2,157830235;0;0,313589634
owner;28;0;0;0;0;0;5,884018263;0;0;0;0;0
parsename;45;0;0;0;0;0;7,570925166;0;0;0;0;0
partition;343;0;0;0;0;0;79,72619527;0;0;0;0;0
path;44;0;0;0;0;0;13,74493703;0;0;0;0;0
patindex;108;0;0;0;0;0;27,55332673;0;0;0;0;0
percent;129;0;0;0;0;0;32,39653761;0;0;0;0;0
period;18;0;0;0;0;0;3,546402125;0;0;0;0;0
pivot;75;0;0;0;0;0;19,15331369;0;0;0;0;0
power;43;0;0;0;0;0;13,1725327;0;0;0;0;0
primary;222;0;0;0;0;0;34,95092321;0;0;0;0;0
print;152;0;0;0;0;0;34,85090376;0;0;0;0;0
procedure;20;0;0;0;0;0;4,089037283;0;0;0;0;0
ptri;14;0;0;0;0;0;5,238512625;0;0;0;0;0
rand;25;0;0;0;0;0;14,271728;0;0;0;0;0,762431146
rank;295;0;0;0;0;0;66,58836869;0;0;0;0;0
raw;17;0;0;0;0;0;6,831726104;0;0;0;0;0
references;18;0;0;0;0;0;2,728062078;0;0;0;0;0
replace;560;4;0;0;0;0;124,5846545;0;0;0;0;0
replicate;34;0;0;0;0;0;11,7186798;0;0;0;0;0
reverse;68;0;0;0;0;0;13,08421259;0;0;0;0;0
right;167;0;0;0;0;0;46,45367497;0;0;0;0;0
rollup;24;0;0;0;0;0;9,979072694;0;0;0;0;0
round;577;0;0;0;7;2;144,8023701;0;0;0;0;0
row;2520;3;0;0;0;1;604,1649418;0;0;2,157830235;0;0,313589634
rows;73;0;0;0;0;0;21,53231086;0;0;0;0;0
rtrim;89;0;0;0;0;0;25,64187821;0;0;0;0;0
select;39455;44;29;140;38;21;4480,742288;3,451030581;3,484483194;4,782832909;7,670562526;3,671599508
set;1192;0;5;0;0;0;191,6717107;0;0,473308505;0;0;0
site;25;0;0;0;0;0;5,384701537;0;0;0;0;0
source;26;0;0;0;0;0;13,91055166;0;0;0;0;0
space;18;0;0;0;0;0;4,843471157;0;0;0;0;0
sqrt;44;0;0;0;0;0;13,13741096;0;0;0;0;0
statistics;33;0;0;0;0;0;8,416260565;0;0;0;0;0
str;130;0;0;0;0;0;29,48579804;0;0;0;0;0
stuff;110;0;0;0;0;0;31,35866834;0;0;0;0;0
substring;381;0;0;0;0;0;82,20134815;0;0;0;0;0
sum;5950;8;20;0;128;0;799,6106802;1,712352486;1,035681458;0;0;0
sysdatetime;15;0;0;0;0;0;6,216636228;0;0;0;0;0
sysname;14;0;0;0;0;0;3,029520219;0;0;0;0;0
table;1396;0;6;12;0;1;188,9539398;0;0;0;0;0
tablesample;12;0;0;0;0;0;7,055653224;0;0;0;0;0
target;26;0;0;0;0;0;9,038823475;0;0;0;0;0
then;6207;0;50;0;168;0;656,5125752;1,288071619;0,490844206;0;0;0
thousand;11;0;0;0;0;0;9,539956901;0;0;0;0;0
time;49;0;0;0;0;0;9,910314451;0;0;0;0;0
tinyint;36;0;0;0;0;0;8,994259538;0;0;0;0;0
top;7255;7;6;0;7;6;2073,47802;1,701930845;0;4,114880285;4,024745182;3,124849096
union;2048;4;0;44;0;0;244,0257444;0;0;0;0;0
unique;17;0;0;0;0;0;4,352659518;0;0;0;0;0
unpivot;17;0;0;0;0;0;6,282028023;0;0;0;0;0
upd;11;0;0;0;0;0;3,80618862;0;0;0;0;0
update;111;0;0;0;0;0;22,51537343;0;0;0;0;0
upper;1326;0;0;0;0;3;391,5827163;0;0;1,46978611;0;0,822174508
use;50;0;0;0;0;0;35,63391306;0;0;0;0;0
values;1112;0;5;0;0;0;148,3042491;0;0;0;0;0
varchar;2326;0;0;10;0;0;416,5828393;0;1,79192626;0;0;0,677188956
week;757;0;0;0;0;0;120,5485179;0;0;0;0;0
weekday;177;0;0;0;0;0;31,22705316;0;0;0;0;0
when;6245;0;50;0;168;0;660,8158368;1,288071619;0,490844206;0;0;0
where;27737;28;19;64;21;15;3634,921854;3,206603121;2,876633833;4,485303332;7,169054301;2,93765848
while;154;0;0;0;0;0;27,69104107;0;0;0;0;0
with;1940;4;0;10;5;0;336,9305832;0;0;0;0;0
within;40;0;0;0;0;0;11,2063529;0;0;0;0;0
xml;102;0;0;0;0;0;41,39221331;0;0;0;0;0
year;3306;4;0;9;24;0;546,9400712;0;0;0;0;0,207168914
